city,install_year,misclass_type,geometry_len_km,total_len,year,percentage,infrastructure_type
Calgary,2013,PL,0.13909839945329086,1.6197905081024877,2013,8.587431446072518,Painted and Buffered Lane
Calgary,2017,PBL,0.0549305774990006,0.15037875430023245,2017,36.52815037244639,Cycle Track
Calgary,2018,PBL,0.6594436339585211,1.0458428607630215,2018,63.05379696118087,Cycle Track
Calgary,2019,PBL,0.12957260898707315,1.2202243454169293,2019,10.618752975527665,Cycle Track
Calgary,2020,PBL,0.17084231941256903,5.2410391454345575,2020,3.2597031747299368,Cycle Track
Calgary,2021,PBL,4.196940098189153,12.543500357022285,2021,33.45908222372363,Cycle Track
Toronto,2014,PBL,1.564690569246583,3.5588943509432047,2014,43.96563693529978,Cycle Track
Toronto,2014,PL,0.10447268551414533,3.028047021567141,2014,3.450167212399375,Painted and Buffered Lane
Toronto,2015,PBL,0.6805123969747018,3.6793137798892404,2015,18.495633634030188,Cycle Track
Toronto,2015,PL,0.11990667010140246,2.2298263614516385,2015,5.377399432274272,Painted and Buffered Lane
Toronto,2016,PBL,0.9824776501406366,3.19378892123016,2016,30.76213470495142,Cycle Track
Toronto,2017,PBL,0.7944174211985954,3.0503650917224037,2017,26.04335537914328,Cycle Track
Toronto,2018,PBL,1.9117512674012531,1.9117512674012531,2018,100,Cycle Track
Toronto,2019,PBL,1.6290146743497953,1.6290146743497953,2019,100,Cycle Track
Toronto,2020,PBL,6.264960558169377,24.345212049695192,2020,25.73385085075821,Cycle Track
Toronto,2020,PL,0.03535859974261314,5.592960508517179,2020,0.6321982729677366,Painted and Buffered Lane
Toronto,2021,PL,0.017527501429856044,8.923773057939423,2021,0.196413572107394,Painted and Buffered Lane
Vancouver,2010,PBL,0.17138932809983898,0.4246091484479387,2010,40.36402153046239,Cycle Track
Vancouver,2010,PL,0.34674593721053687,3.722019847592348,2010,9.316069000406738,Painted and Buffered Lane
Vancouver,2011,PBL,0.14309250820973904,0.24972461613147834,2011,57.30012140028751,Cycle Track
Vancouver,2012,PBL,0.32158270844611225,0.4841252435973036,2012,66.42551957352701,Cycle Track
Vancouver,2013,PBL,0.16469386257703267,0.6354112800689748,2013,25.91925383495787,Cycle Track
Vancouver,2016,PBL,0.19177791793030488,2.239094424618265,2016,8.56497679694774,Cycle Track
Vancouver,2016,PL,0.13005216124001737,0.23806575952598488,2016,54.62867129610135,Painted and Buffered Lane
