year_diff,n,n_perc
-9,7,1.046337817638266
-8,33,4.932735426008969
-7,54,8.071748878923767
-6,1,0.14947683109118087
-5,8,1.195814648729447
-4,16,2.391629297458894
-3,3,0.4484304932735426
-2,1,0.14947683109118087
-1,58,8.669656203288492
0,282,42.152466367713004
1,80,11.958146487294469
2,5,0.7473841554559043
4,2,0.29895366218236175
6,9,1.345291479820628
9,6,0.8968609865470852
11,30,4.484304932735426
12,2,0.29895366218236175
13,8,1.195814648729447
14,15,2.242152466367713
15,14,2.092675635276532
16,9,1.345291479820628
18,1,0.14947683109118087
19,22,3.288490284005979
20,3,0.4484304932735426
